,SMILES,DBPP_SCORE,SMILES_1
19,Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1C(=O)N[C@H]1CCC[C@@H]1OCc1ccccc1,0.010988993,NC1=NC=C(C2=CN(C3CCNCC3)N=C2)C=C1C(N[C@H]4CCC[C@@H]4OCC5=CC=CC=C5)=O
20,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccccc3)c2)cn1,0.004343967,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=CC=C4)=O
21,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCCC[C@@H]3OCc3ccccc3)c2)cn1,0.012858847,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@@H](CCCC3)[C@H]3OCC4=CC=CC=C4)=O
22,CC(C)[C@H](NC(=O)c1cc(-c2cnn(C)c2)cnc1N)C(=O)OCc1ccccc1,0.004457988,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@@H](C(C)C)C(OCC3=CC=CC=C3)=O)=O
23,Cn1cc(-c2cnc(N)c(C(=O)N[C@@H]3CCC[C@H]3OCc3ccccc3)c2)cn1,0.004343967,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@@H]3CCC[C@H]3OCC4=CC=CC=C4)=O
24,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccccc4)cc3)c2)cn1,0.092926273,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=CC=C5)C=C4)=O
25,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(N)cc4)cc3)c2)cn1,0.117137936,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(N)C=C5)C=C4)=O
26,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(CN)cc4)cc3)c2)cn1,0.329423366,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(CN)C=C5)C=C4)=O
27,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(C(N)=O)cc4)cc3)c2)cn1,0.407446386,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(N)=O)C=C5)C=C4)=O
28,CN(C)Cc1ccc(-c2ccc(CO[C@H]3CCC[C@@H]3NC(=O)c3cc(-c4cnn(C)c4)cnc3N)cc2)cc1,0.980464917,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(CN(C)C)C=C5)C=C4)=O
29,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(CN5CCOCC5)cc4)cc3)c2)cn1,0.807380572,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(CN6CCOCC6)C=C5)C=C4)=O
30,CN1CCN(Cc2ccc(-c3ccc(CO[C@H]4CCC[C@@H]4NC(=O)c4cc(-c5cnn(C)c5)cnc4N)cc3)cc2)CC1,0.945111647,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(CN6CCN(C)CC6)C=C5)C=C4)=O
31,CN1CCN(Cc2cccc(-c3ccc(CO[C@H]4CCC[C@@H]4NC(=O)c4cc(-c5cnn(C)c5)cnc4N)cc3)c2)CC1,0.936136169,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=CC(CN6CCN(C)CC6)=C5)C=C4)=O
32,CN1CCN(C(C)(C)c2ccc(-c3ccc(CO[C@H]4CCC[C@@H]4NC(=O)c4cc(-c5cnn(C)c5)cnc4N)cc3)cc2)CC1,0.719866803,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(C)(C)N6CCN(C)CC6)C=C5)C=C4)=O
33,CN1CCN(C2(c3ccc(-c4ccc(CO[C@H]5CCC[C@@H]5NC(=O)c5cc(-c6cnn(C)c6)cnc5N)cc4)cc3)CC2)CC1,0.409068612,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C6(CC6)N7CCN(C)CC7)C=C5)C=C4)=O
34,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(C(C)(C)N5CCN(CCO)CC5)cc4)cc3)c2)cn1,0.404007784,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(C)(C)N6CCN(CCO)CC6)C=C5)C=C4)=O
35,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(C(C)(C)N5CCN(CCO)CC5)cc4)cc3)n2)cn1,0.715744282,NC1=NC=C(C2=CN(C)N=C2)N=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(N6CCN(CCO)CC6)(C)C)C=C5)C=C4)=O
36,CC(C)(c1ccc(-c2ccc(CO[C@H]3CCC[C@@H]3NC(=O)c3cncnc3N)cc2)cc1)N1CCN(CCO)CC1,0.159529096,NC1=NC=NC=C1C(N[C@H]2CCC[C@@H]2OCC3=CC=C(C4=CC=C(C(N5CCN(CCO)CC5)(C)C)C=C4)C=C3)=O
37,Cn1cc(-c2cnc(N)c3c2OCCN([C@H]2CCC[C@@H]2OCc2ccc(-c4ccc(C(C)(C)N5CCN(CCO)CC5)cc4)cc2)C3=O)cn1,0.328190571,NC1=C2C(OCCN([C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(C)(C)N6CCN(CCO)CC6)C=C5)C=C4)C2=O)=C(C7=CN(C)N=C7)C=N1
38,CC(C)(c1ccc(-c2ccc(CO[C@H]3CCC[C@@H]3NC(=O)c3cc(C(F)(F)F)cnc3N)cc2)cc1)N1CCN(CCO)CC1,0.591596742,NC1=NC=C(C(F)(F)F)C=C1C(N[C@H]2CCC[C@@H]2OCC3=CC=C(C4=CC=C(C(N5CCN(CCO)CC5)(C)C)C=C4)C=C3)=O
39,CC(C)(c1ccc(-c2ccc(CO[C@H]3CCC[C@@H]3NC(=O)c3cc(-c4ccc(F)nc4)cnc3N)cc2)cc1)N1CCN(CCO)CC1,0.619724946,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC=C(C(C)(C)N4CCN(CCO)CC4)C=C3)C=C2)C5=C(N)N=CC(C6=CC=C(F)N=C6)=C5
