SMILES,phase
Cc1cn(C2CC(OP(O)(=S)OCC3OC(n4cnc5c(=O)[nH]c(N)nc54)CC3OP(O)(=S)OCC3OC(n4ccc(N)nc4=O)CC3OP(O)(=S)OCC3OC(n4cnc5c(N)ncnc54)CC3OP(O)(=S)OCC3OC(n4cnc5c(=O)[nH]c(N)nc54)CC3OP(O)(=S)OCC3OC(n4ccc(N)nc4=O)CC3O)C(COP(O)(=S)OC3CC(n4ccc(N)nc4=O)OC3COP(O)(=S)OC3CC(n4ccc(N)nc4=O)OC3COP(O)(=S)OC3CC(n4ccc(N)nc4=O)OC3COP(O)(=S)OC3CC(n4cc(C)c(=O)[nH]c4=O)OC3COP(O)(=S)OC3CC(n4ccc(N)nc4=O)OC3COP(O)(=S)OC3CC(n4cc(C)c(=O)[nH]c4=O)OC3COP(O)(=S)OC3CC(n4cc(C)c(=O)[nH]c4=O)OC3COP(O)(=S)OC3CC(n4ccc(N)nc4=O)OC3COP(O)(=S)OC3CC(n4ccc(N)nc4=O)OC3COP(O)(=S)OC3CC(n4ccc(N)nc4=O)OC3COP(O)(=S)OC3CC(n4ccc(N)nc4=O)OC3COP(O)(=S)OC3CC(n4cnc5c(=O)[nH]c(N)nc54)OC3COP(O)(=S)OC3CC(n4cc(C)c(N)nc4=O)OC3COP(O)(=S)OC3CC(n4cc(C)c(=O)[nH]c4=O)OC3COP(O)(=S)OC3CC(n4cnc5c(=O)[nH]c(N)nc54)OC3CO)O2)c(=O)nc1N,3
Cc1ncc([N+](=O)[O-])n1CC(O)CCl,3
C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O,3
O=[N+]([O-])c1cncn1CCN1CCOCC1,3
CC(C)CCCC(C)C1CCC2C3CCC4=CC(=NO)CCC4(C)C3CCC12C,3
Cc1oc(-c2ccccc2)nc1COc1ccc(CON=C(CCC(=O)O)c2ccccc2)cc1,3
CC(=O)SC(C(=O)NC1Cc2ccccc2C2CCCC(C(=O)O)N2C1=O)C(C)C,3
CC(C)C(=O)c1c(C(C)C)nn2ccccc12,3
CN(C)CCON=C(C=Cc1ccc(O)cc1)c1ccccc1F,3
Cc1cc2cc(Oc3ccnc(Nc4cccc(CS(=O)(=O)NCCN(C)C)c4)n3)ccc2[nH]1,3
