,SMILES,Molskill
35,NC1=NC=C(C2=CN(C)N=C2)N=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(N6CCN(CCO)CC6)(C)C)C=C5)C=C4)=O,-5.210456
36,NC1=NC=NC=C1C(N[C@H]2CCC[C@@H]2OCC3=CC=C(C4=CC=C(C(N5CCN(CCO)CC5)(C)C)C=C4)C=C3)=O,-7.90105
37,NC1=C2C(OCCN([C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(C)(C)N6CCN(CCO)CC6)C=C5)C=C4)C2=O)=C(C7=CN(C)N=C7)C=N1,1.4080025
38,NC1=NC=C(C(F)(F)F)C=C1C(N[C@H]2CCC[C@@H]2OCC3=CC=C(C4=CC=C(C(N5CCN(CCO)CC5)(C)C)C=C4)C=C3)=O,-2.770607
39,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC=C(C(C)(C)N4CCN(CCO)CC4)C=C3)C=C2)C5=C(N)N=CC(C6=CC=C(F)N=C6)=C5,0.41773343
40,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC=C(C(C)(C)N4CCN(CCO)CC4)C=C3)C=C2)C5=C(N)N=CC(C6=CC=CN=C6F)=C5,-0.43592393
41,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC=C(C(C)(C)N4CCN(CCO)CC4)C=C3)C=C2)C5=C(N)N=CC(C6=CC(N(C)C=C6)=O)=C5,0.7929348
42,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC=C(C(C)(C)N4CCN(CCO)CC4)C=C3)C=C2)C5=C(N)N=CC(C6=CN=NC=C6)=C5,-0.40692675
43,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(C)(C)N6CCN(CC(O)CO)CC6)C=C5)C=C4)=O,1.1467661
44,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(C)(C)N6CCN(CC#N)CC6)C=C5)C=C4)=O,5.742241
45,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(C)(C)N6CCN(CC7=NC=CN7)CC6)C=C5)C=C4)=O,1.067779
